order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_expressed: (e)ks:spr(e)st
_expresses: (e)ks:spr(e):s(i)z
_expressing: (e)ks:spr(e):s(1)ng
_expression: (e)k:spr(e):sh(i)n
_expressions: (e)k:spr(e):sh(i)nz
_extend: (i)ks:st(e)nd
_extended: (i)ks:st(e)nd:d(i)d
_extending: (i)ks:st(e)n:d(1)ng
_extends: (i)ks:st(e)nz
_extension: (e)k:t(e)n:sh(i)n
_extent: (i)ks:t(e)nt
_extents: (i)ks:t(e)nts
_extra: (e)ks:tr(u)
_extras: (e)ks:tr(u)z
_extremely: (i)ks:tr(E)m:l(E)
_eye: (I)
_eyed: (I)d
_eyes: (I)z
_face: f(A)s
_faced: f(A)st
_faces: f(A):s(i)s
_facilities: f(u):s(i):l(i):d(E)z
_facility: f(u):s(i):l(i):d(E)
_facing: f(A):s(1)ng
_fact: f(@)kt
_factor: f(@)k:t(3)
_factored: f(@)k:t(3)d
_factories: f(@)k:t(3):r(E)z
_factors: f(@)k:t(3)z
_factory: f(@)k:t(3):r(E)
_factorys: f(@)k:t(3):r(E)z
_facts: f(@)ks
_faculty: f(u):s(i):l(i):dd(E)
_fade: f(A)d
_fading: f(A):d(1)ng
_fail: f(A)l
_failed: f(A)l
_failing: f(A)l:l(1)ng
_fails: f(A)lz
_failure: f(A)l:y(3)
_failures: f(A)l:y(3)z
_fair: f(A)r
_fairer: f(A)r:(3)
_fairest: f(A)r:(i)st
_fairly: f(A)r:l(E)
_fairs: f(A)rs
_fairy: f(A)r:(E)
_faith: f(A)th
_faithful: f(A)th:f(0)l
_faiths: f(A)ths
_fake: f(A)k
_fall: f(9l)
_falling: f(9l):(1)ng
_falls: f(9l)s
_falter: f(9l):t(3)
_familiar: f(u):m(i):l(E):(3)|f(u):m(i)l:y(3)
_familiars: f(u):m(i):l(E):(3)z|f(u):m(i)l:y(3)z
_families: f(&)m:m(u):l(E)z
_family: f(&)m:m(u):l(E)
_familys: f(&)m:m(u):l(E)z
_famous: f(A):m(i)s
_famously: f(A):m(i)s:l(E)
_fan: f(&)n
_fans: f(&)nz
_far: f(a)r
_farewell: f(A)r:w(e)l
_farm: f(a)rm
_farmed: f(a)rmd
_farmer: f(a)r:m(3)
_farmers: f(a)r:m(3)z
_farming: f(a)r:m(1)ng
_farms: f(a)rmz
_fars: f(a)rs
_farther: f(a)r:dh(3)
_farthest: f(a)r:dh(i)st
_fashion: f(@):sh(i)n
_fashioned: f(@):sh(i)nd
_fashions: f(@):sh(i)nz
_fast: f(@)st
_faster: f(@)s:t(3)
_fastest: f(@)s:t(i)st
_fasts: f(@)sts
_fat: f(@)t
_fate: f(A)t
_fateful: f(A)t:f(0)l
_fates: f(A)ts
_father: f(a):th(3)
_fathered: f(9):th(3)d
_fathers: f(9):th(3)s
_fats: f(@)ts
_fatter: f(@):dd(3)
_fattest: f(@):dd(i)st
_fault: f(9l)t
_favorite: f(A)v:r(i)t
_favorited: f(A)v:r(i):d(i)d
_favorites: f(A)v:r(i)ts
_fear: f(E)r
_feared: f(E)rd
_fearing: f(E)r:r(1)ng
_fears: f(E)rz
_feature: f(E):ch(3)
_featured: f(E):ch(3)d
_features: f(E):ch(3)z
_featuring: f(E):ch(3):r(1)ng
_federal: f(e):d(3):r(0)l
_federals: f(e):d(3):r(0)lz
_fee: f(E)
_feed: f(E)d
_feeding: f(E):d(1)ng
_feeds: f(E)dz
_feel: f(E)l
_feeling: f(E):l(1)ng
_feelings: f(E):l(1)ngz
_feels: f(E)lz
_fees: f(E)s
_feet: f(E)t
_feets: f(E)ts
_fell: f(e)l
_felt: f(e)lt
_female: f(E):m(A)l
_females: f(E):m(A)lz
_few: fy(o)
_fewer: fy(o):(3)
_fewest: fy(o):(i)st
_field: f(E)ld
_fields: f(E)ldz
_fifth: f(i)th
_fight: f(I)t
_fights: f(I)ts
_figure: f(i)g:y(3)
_figured: f(i)g:y(3)d
_figures: f(i)g:y(3)z
_file: f(I):(0)l
_filed: f(I):(0)ld
_files: f(I):(0)lz
_filing: f(I):l(1)ng|f(I):y(x):l(1)ng
_fill: f(i)l
_filled: f(i)ld
_fills: f(i)ls
_film: f(i)lm
_filmed: f(i)lmd
_films: f(i)lmz
_final: f(I):n(0)l
_finally: f(I):n(u):l(E)
_finals: f(I):n(0)lz
_financial: f(I):n(&)n:sh(0)l
_financials: f(I):n(&)n:sh(0)lz
_find: f(I)nd
_finding: f(I)n:d(1)ng
_finds: f(I)nz
_fine: f(I)n
_fines: f(I)nz
_finger: f(1)ng:g(3)
_fingered: f(1)ng:g(3)d
_fingering: f(1)ng:g(3):r(1)ng
_fingers: f(1)ng:g(3)z
_finish: f(i):n(i)sh
_finished: f(i):n(i)sht
_finishes: f(i):n(i):sh(i)z
_finishing: f(i):n(i):sh(1)ng
_fire: f(I):(3)
_fired: f(I):(3)d
_fires: f(I):(3)z
_firm: f(3)rm
_firmer: f(3)r:m(3)
_firmest: f(3)r:m(i)st
_first: f(3)st
_firsts: f(3)sts
_fish: f(i)sh
_fishes: f(i):sh(i)z
_fishing: f(i):sh(1)ng
_fit: f(i)t
_fits: f(i)ts
_fitting: f(i):t(1)ng
_five: f(I)v
_fives: f(I)vz
_fix: f(i)ks
_fixed: f(i)kst
_fixes: f(i)k:s(i)z
_fixing: f(i)k:s(1)ng
_flaky: fl(A):k(E)
_flames: fl(A)mz
_flew: fl(o)
_flies: fl(I)z
_flight: fl(I)t
_flights: fl(I)ts
_floor: fl(0)r
_floored: fl(0)rd
_floors: fl(0)rz
_flow: fl(O)
_flowed: fl(O)d
_flower: fl(8):(3)
_flowers: fl(8):(3)z
_flowing: fl(O):(1)ng
_flows: fl(O)z
_fluid: fl(o):(i)d
_fly: fl(I)
_flying: fl(I):(1)ng
_flys: fl(I)z
_focus: f(O):k(i)s
_focused: f(O):k(i)st
_focuses: f(O):k(i):s(i)z
_folk: f(O)k
_folks: f(O)ks
_follow: f(a):l(O)
_followed: f(a):l(O)d
_follower: f(a):l(O):w(3)
_followers: f(a):l(O):w(3)z
_following: f(a):l(O):(1)ng
_follows: f(a):l(O)z
_food: f(o)d
_foods: f(o)dz
_fools: f(o)lz
_foot: f(6)t
_football: f(6)t:b(9l)
_footballs: f(6)t:b(9l)z
_for: f(0)r
_force: f(0)rz
_forced: f(0)rst
_forces: f(0)r:s(i)z
_foreign: f(0)r:(i)n
_foreigner: f(0)r:(i):n(3)
_forest: f(0)r:r(i)st
_forests: f(0)r:r(i)sts
_forever: f(0)r:(e):v(3)
_forget: f(0)r:g(e)t
_forgets: f(0)r:g(e)ts
_forgetting: f(0)r:g(e):d(1)ng
_forgive: f(0)r:g(i)v
_forgot: f(0)r:g(a)t
_forgotten: f(0)r:g(a):d(1)n
_form: f(0)rm
_formality: f(0)r:m(@):l(i):dd(E)
_formed: f(0)rmd
_former: f(0)r:m(3)
_formers: f(0)r:m(3)z
_forms: f(0)rmz
_forth: f(0)rth
_forths: f(0)rths
_fortune: f(0)r:ch(i)n
_forward: f(0)r:w(3)d
_forwards: f(0)r:w(3)dz
_fought: f(9)t
_found: f(8n)d
_four: f(0)r
_fours: f(0)rz
_fourth: f(0)rth
_fourths: f(0)rths
_frail: fr(A)l
_frame: fr(A)m
_framed: fr(A)md
_frames: fr(A)mz
_framing: fr(A):m(1)ng
_free: fr(E)
_freed: fr(E)d
_freedom: fr(E):d(u)m
_freedoms: fr(E):d(u)mz
_frees: fr(E)s
_freezing: fr(E):z(1)ng
_french: fr(e)nch
_frequently: fr(E):kw(i)nt:l(E)
_fresh: fr(e)sh
_fresher: fr(e):sh(3)
_freshest: fr(e):sh(i)st
_friend: fr(e)nd
_friended: fr(e)n:d(i)d
_friendly: fr(e)nd:l(E)
_friends: fr(e)ndz
_from: fr(u)m
_front: fr(u)nt
_fronts: fr(u)nts
_fruit: fr(o)t
_fruits: fr(o)ts
_fruity: fr(o):dd(E)
_fuck: f(u)k
_fucked: f(u)kt
_fuel: fy(o)l
_fueled: fy(o)ld
_fueling: fy(o)l:(1)ng
_fuels: fy(o)ls
_full: f(0)l
_fuller: f(0)l:l(3)
_fullest: f(0)l:l(i)st
_fully: f(u):l(E)
_fun: f(u)n
_function: f(u)nk:sh(i)n
_functional: f(u)nk:sh(i):n(0)l
_functioning: f(u)nk:sh(i):n(1)ng
_functions: f(u)nk:sh(i)ns
_fund: f(u)nd
_funded: f(u)n:d(i)d
_funds: f(u)ndz
_funnier: f(u):n(E):(3)
_funnies: f(u):n(E)z
_funniest: f(u):n(E):(i)st
_funny: f(u):n(E)
_future: fy(o):ch(3)
_futures: fy(o):ch(3)z
_gain: g(A)n
_gained: g(A)nd
_gaining: g(A):n(1)ng
_gains: g(A)nz
_gambles: g(&)m:b(0)lz
_game: g(A)m
_gamed: g(A)md
_games: g(A)mz
_gap: g(@)p
_gaps: g(@)ps
_garden: g(a)r:d(i)n
_gardens: g(a)r:d(i)nz
_gas: g(@)s
_gases: g(@):s(i)z
_gasping: g(@)s:p(1)ng
_gassed: g(@)st
_gassing: g(@):s(1)ng
_gate: g(A)t
_gated: g(A):dd(i)d
_gates: g(A)ts
_gather: g(@):th(3)
_gathered: g(@):th(3)d
_gathering: g(@):th(3):(1)ng
_gathers: g(@):th(3)z
_gating: g(A):dd(1)ng
_gave: g(A)v
_gay: g(A)
_gayd: g(A)d
_gayful: g(A):f(0)l
_gaying: g(A):(1)ng
_gays: g(A)z
_ge: g(e)
_gender: j(e)n:d(3)
_genders: j(e)n:d(3)z
_general: j(e):n(3):r(0)l|j(e)n:r(0)l
_generally: j(e)n:n(3):r(0)l:l(E)|j(e):r(0)l:l(E)
_generals: j(e):n(3):r(0)lz
_generate: j(e):n(3):r(A)t
_generated: j(e):n(3):r(A):d(i)d
_generates: j(e):n(3):r(A)ts
_generating: j(e):n(3):r(A):d(1)ng
_generation: j(e):n(3):r(A):sh(i)n
_generations: j(e):n(3):r(A):sh(i)nz
_german: j(3):m(i)n
_germans: j(3):m(i)nz
_get: g(e)t
_gets: g(e)ts
_gift: g(i)ft
_gifting: g(i)f:t(1)ng
_gifts: g(i)fs
_girl: g(3)l
_girls: g(3)lz
_give: g(i)v
_gives: g(i)vz
_glass: gl(@)s
_glasses: gl(@):s(i)z
_global: gl(O):b(0)l
_globally: gl(O):b(u):l(E)
_glow: gl(O)
_go: g(O)
_goal: g(0)l
_goals: g(0)lz
_god: g(a)d
_goddess: g(9):d(i)s
_goes: g(O)z
_going: g(O):(1)ng
_gold: g(0)ld
_golden: g(0)l:d(i)n
_golds: g(0)ldz
_golf: g(9l)f
_golfs: g(9l)fs
_gone: g(a)n
_gonna: g(u):n(u)
_good: g(6)d
_goodnight: g(6)d:n(I)t
_goods: g(6)dz
_got: g(a)t
_gotta: g(a):dd(u)
_government: g(u):v(3)n:m(e)nt
_governments: g(u):v(3)n:m(e)nts
_governor: g(u):v(i):n(3)
_governors: g(u):v(i):n(3)z
_grab: gr(@)b
_grabbed: gr(@)bd
_grabbing: gr(@):b(1)ng
_grabs: gr(@)bz
_grade: gr(A)d
_graded: gr(A):d(i)d
_grades: gr(A)dz
_grading: gr(A):d(1)ng
_graduate: gr(@):j(o):(i)t
_graduated: gr(@):j(o):(A):d(i)d
_graduates: gr(@):j(o):(i)ts
_graduating: gr(@):j(o):(A):d(1)ng
_grant: gr(&)nt
_granted: gr(&)n:t(i)d
_granting: gr(&)n:t(1)ng
_grants: gr(&)nts
_grasped: gr(@)spt
_grass: gr(@)s
_gray: gr(A)
_grayed: gr(A)d
_grays: gr(A)s
_great: gr(A)t
_greater: gr(A):dd(3)
_greatest: gr(A):dd(i)st
_green: gr(E)n
_greens: gr(E)nz
_grew: gr(o)
_grey: gr(A)
_grieving: gr(E):v(1)ng
_grinning: gr(i):n(1)ng
_groaned: gr(O)nd
_ground: gr(8n)d
_grounded: gr(8n):d(i)d
_grounds: gr(8n)dz
_group: gr(o)p
_grouped: gr(o)pt
_groups: gr(o)ps
_grow: gr(O)
_growing: gr(O):(1)ng
_grown: gr(O)n
_grows: gr(O)z
_growth: gr(O)th
_guard: g(a)rd
_guarded: g(a)r:d(i)d
_guarding: g(a)r:d(1)ng
_guards: g(a)rdz
_guess: g(e)s
_guessed: g(e)st
_guesses: g(e):s(i)z
_guessing: g(e):s(1)ng
_guest: g(e)st
_guests: g(e)sts
_guide: g(I)d
_guided: g(I):dd(i)d
_guides: g(I)dz
_guiding: g(I):dd(1)ng
_guilt: g(i)lt
_guilty: g(i)l:t(E)
_gun: g(u)n
_guns: g(u)nz
_guy: g(I)
_guys: g(I)z
_ha: h(a)
_had: h(@)d
_hair: h(A)r
_hairs: h(A)rz
_half: h(@)f
_hall: h(9l)
_halls: h(9l)z
_hallways: h(9l):w(A)z
_halved: h(@)vd
_halves: h(@)vz
_hand: h(&)nd
_handed: h(&)n:d(i)d
_handle: h(&)n:d(0)l
_handled: h(&)n:d(0)ld
_handles: h(&)n:d(0)lz
_handling: h(&)n:d(0)l:l(1)ng
_hands: h(&)nz
_hang: h(Ang)
_hanging: h(Ang):(1)ng
_hangs: h(&)ngz
_happen: h(@):p(i)n
_happened: h(@):p(i)nd
_happens: h(@):p(i)ns
_happier: h(@):p(E)r|h(@):p(E):(3)
_happiest: h(@):p(E):(i)st
_happily: h(@):p(i):l(E)
_happy: h(@):p(E)
_hard: h(a)rd
_harder: h(a)r:d(3)
_hardest: h(a)r:d(i)st
_hardly: h(a)rd:l(E)
_hardships: h(a)rd:sh(i)ps
_has: h(@)z
_hat: h(@)t
_hate: h(A)t
_hateful: h(A)t:f(0)l
_hater: h(A):dd(3)
_hates: h(A)ts
_hating: h(A):dd(1)ng
_hats: h(@)ts
_haunt: h(9)nt
_haunting: h(9)n:t(1)ng
_have: h(@)v
_haved: h(@)vd
_havent: h(@):v(i)nt
_haves: h(@)vz
_having: h(@):v(1)ng
_he: hh(E)
_he's: hh(E)s
_head: h(e)d
_headed: h(e):d(i)d
_heads: h(e)dz
_health: h(e)lth
_healthier: h(e)l:th(E):(3)
_healthiest: h(e)l:th(E):(i)st
_healths: h(e)lths
_healthy: h(e)l:th(E)
_hear: hh(E)r
_heard: h(3)d
_hearing: h(E)r:r(1)ng
_hearings: h(E)r:r(1)ngz
_hears: h(E)rz
_heart: h(a)rt
_hearts: h(a)rts
_heat: h(E)t
_heated: h(E):d(i)d
_heater: h(E):d(3)
_heating: h(E):d(1)ng
_heats: h(E)ts
_heavier: h(e):v(E):(3)
_heaviest: h(e):v(E):(i)st
_heavy: h(e):v(E)
_hed: h(E)d
_heels: h(E)lz
_height: h(I)t
_heights: h(I)ts
_held: h(e)ld
_hell: h(e)l
_hella: h(e):l(u)
_hello: h(e):l(O)
_hells: h(e)lz
_help: h(e)lp
_helped: h(e)lpt
_helps: h(e)lps
_her: h(3)
_here: hh(E)r
_heres: hh(E)rz
_hero: hh(E)r:r(O)
_heroes: hh(E)r:r(O)z
_heros: hh(E)r:r(O)z
_hers: h(3)z
_herself: h(3):s(e)lf
_hey: h(A)
_heys: h(A)z
_hi: h(I)
_hid: h(i)d
_hide: h(I)d
_hides: h(I)dz
_hiding: h(I):d(1)ng
_high: h(I)
_higher: h(I):(3)
_highest: h(I):(i)st
_highly: h(I):l(E)
_highs: h(I)s
_hill: h(i)l
_hills: h(i)lz
_him: h(i)m
_himself: h(i)m:s(e)lf
_hire: h(I)r|h(I):3
_hired: h(I)rd|h(I):(3)d
_hires: h(I)rz|h(I):(3)z
_hiring: h(I):(3):(1)ng
_his: h(i)z
_historical: h(i)s:t(0)r:r(i):k(0)l
_historically: h(i)s:t(0)r:r(i)k:l(E)
_histories: h(i):st(0)r:r(E)z
_history: h(i):st(0)r:r(E)
_historys: h(i):st(0)r:r(E)z
_hit: h(i)t
_hits: h(i)ts
_hitting: h(i):dd(1)ng
_hold: h(0)ld
_holding: h(0)l:d(1)ng
_holds: h(0)ldz
_hole: h(0)l
_holes: h(0)lz
_holiday: h(a):l(i):d(A)
_holidays: h(a):l(i):d(A)z
_home: h(O)m
_homes: h(O)mz
_honesty: (9):n(i)s:t(E)
_honor: (9):n(3)
_honored: (9):n(3)d
_honoring: (9):n(3):(1)ng
_honors: (9):n(3)z
_hope: h(O)p
_hoped: h(O)pt
_hopeless: h(O)p:l(i)s
_hopes: h(O)ps
_horse: h(0)rs
_horses: h(0)r:s(i)z
_hospital: h(a)s:p(i):t(0)l
_hospitals: h(a)s:p(i):t(0)lz
_host: h(O)st
_hosted: h(O)s:t(i)d
_hosting: h(O)s:t(1)ng
_hosts: h(O)sts
_hot: h(9)t
_hotel: h(O):t(e)l
_hotels: h(O):t(e)lz
_hots: h(9)ts
_hotter: h(9):d(3)
_hottest: h(9):d(i)st
_hour: h(8):(3)
_hours: h(8):(3)z
_house: h(8)s
_household: h(8)s:h(0)ld
_households: h(8)s:h(0)ldz
_houses: h(8):s(i)z
_how: h(8)
_howd: h(8)d
_however: h(8):(e):v(3)
_hows: h(8)s
_howve: h(8)v
_huge: hhy(o)j
_human: hhy(o):m(i)n
_humans: hhy(o):m(i)nz
_hundred: h(u)n:dr(i)d
_hundreds: h(u)n:dr(i)dz
_hung: h(u)ng
_hungry: h(u)n:gr(E)
_hurt: h(3)t
_hurting: h(3):t(1)ng
_hurts: h(3)ts
_husband: h(u)s:b(i)nd
_husbands: h(u)s:b(i)ndz
_husler: h(u)s:l(3)
_i: (I)
_i'd: (I)d
_i'll: (I)l|(I):y(0)l
_i'm: (I)m
_i've: (I)v
_ice: (I)s
_iced: (I)st
_id: (I):d(E)
_idea: (I):d(E):(u)
_ideas: (I):d(E):(u)z
_identified: (I):d(e)n:t(i):f(I)d
_identifier: (I):d(e)n:t(i):f(I):(3)
_identifies: (I):d(e)n:t(i):f(I)z
_identify: (I):d(e)n:t(i):f(I)
_identities: (I):d(e):n(i):d(E)z
_identity: (I):d(e):n(i):d(E)
_identitys: (I):d(e):n(i):d(E)z
_if: (i)f
_ignore: (i)g:n(0)r
_ignored: (i)g:n(0)rd
_ignores: (i)g:n(0)rs
_ignoring: (i)g:n(0)r:(1)ng
_ill: (i)l
_illegal: (E):l(E):g(0)l
_illegally: (E):l(E):g(u):l(E)
_image: (i):m(i)j
_imaged: (i):m(i)jt
_images: (i):m(i):j(i)z
_imagine: (i):m(@):j(i)n
_imagined: (i):m(@):j(i)nd
_imagines: (i):m(@):j(i)nz
_imagining: (i):m(@):j(i):n(1)ng
_immediately: (i):m(E):d(E):(i)t:l(E)
_immigrant: (i)m:m(i):gr(i)nt
_immigrants: (i)m:m(i):gr(i)nts
_impact: (i)m:p(@)kt
_impacted: (i)m:p(@)k:t(i)d
_impacting: (i)m:p(@)k:t(1)ng
_impacts: (i)m:p(@)ks
_importance: (i)m:p(0)r:t(i)ns
_important: (i)m:p(0)r:t(i)nt
_impossibilities: (i)m:p(a):s(i):b(i)l:l(i):dd(E)z
_impossibility: (i)m:p(a):s(i):b(i)l:l(i):t(E)
_impossible: (i)m:p(a):s(i):b(0)l
_improve: (i)m:pr(o)v
_improved: (i)m:pr(o)vd
_improvement: (i)m:pr(o)v:m(i)nt
_improvements: (i)m:pr(o)v:m(i)nts
_improves: (i)m:pr(o)vz
_improving: (i)m:pr(o):v(1)ng
_in: (i)n
_inch: (i)nch
_incident: (i)n:s(i):d(i)nt
_incidents: (i)n:s(i):d(i)nts
_include: (i)n:kl(o)d
_included: (i)n:kl(o):d(i)d
_includes: (i)n:kl(o)dz
_including: (i)n:kl(o):d(1)ng
_income: (i)n:k(u)m
_incoming: (i)n:k(u):m(1)ng
_increase: (i)n:kr(E)s
_increased: (i)n:kr(E)st
_increases: (i)n:kr(E):s(i)z
_increasing: (i)n:kr(E):s(1)ng
_increasingly: (i)n:kr(E):s(1)ng:l(E)
_indeed: (i)n:d(E)d
_independence: (i)n:d(u):p(e)n:d(i)ns
_independent: (i)n:d(u):p(e)n:d(i)nt
_indian: (i)n:d(E):(i)n
_indians: (i)n:d(E):(i)nz
_indicate: (i)n:d(i):k(A)t
_indicated: (i)n:d(i):k(A):t(i)d
_indicates: (i)n:d(i):k(A)ts
_indicating: (i)n:d(i):k(A):d(1)ng
_individual: (i)n:d(i):v(i):jy(o):w(0)l
_individuals: (i)n:d(i):v(i):jy(o):w(0)ls
_industrial: (i)n:d(u)s:tr(E):y(0)l
_industries: (i)n:d(u)s:tr(E)z
_industry: (i)n:d(u)s:tr(E)
_industrys: (i)n:d(u)s:tr(E)z
_influence: (i)n:fl(o):(i)ns
_influences: (i)n:fl(o):(i)n:s(i)z
_information: (i)n:f(3):m(A):sh(i)n
_initial: (i):n(i):sh(0)l
_initials: (i):n(i):sh(0)ls
_injured: (i)n:j(3)d
_injuries: (i)n:j(3):r(E)s
_injuring: (i)n:j(3):r(1)ng
_injury: (i)n:j(3):r(E)
_injurys: (i)n:j(3):r(E)s
_inside: (i)n:s(I)d
_insides: (i)n:s(I)dz
_insist: (i)n:s(i)st
_insisted: (i)n:s(i)s:t(i)d
_insisting: (i)n:s(i)s:t(1)ng
_insists: (i)n:s(i)sts
_instead: (i)n:st(e)d
_institution: (i)n:st(i):t(o):sh(i)n
_institutions: (i)n:st(i):t(o):sh(i)ns
_instructed: (i)n:str(u)k:t(i)d
_instructing: (i)n:str(u)k:t(1)ng
_instruction: (i)n:str(u)k:sh(i)n
_instructions: (i)n:str(u)k:sh(i)ns
_instrument: (i)n:str(i):m(i)nt
_instrumental: (i)n:str(u):m(e)n:t(0)l
_instruments: (i)n:str(i):m(i)nts
_insurance: (i)n:sh(3):r(i)ns
_insuranced: (i)n:sh(3):r(i)nst
_insurances: (i)n:sh(3):r(i)n:s(i)z
_intelligence: (i)n:t(e):l(i):j(i)ns
_intelligences: (i)n:t(e):l(i):j(i)n:s(i)z
_intend: (i)n:t(e)nd
_intended: (i)n:t(e)n:d(i)d
_intending: (i)n:t(e)n:d(1)ng
_intends: (i)n:t(e)nz
_interaction: (i)n:t(3):(@)k:sh(i)n
_interactions: (i)n:t(3):(@)k:sh(i)ns
_interest: (i)n:tr(e)st
_interested: (i)n:t(3):r(e)s:t(i)d|(i)n:tr(e)s:t(i)d
_interesting: (i)n:t(3):r(e):st(1)ng|(i)n:tr(e)s:t(1)ng
_interestingly: (i)n:t(3):r(e):st(1)ng:l(E)|(i)n:tr(e)s:t(1)ng:l(E)
_interests: (i)n:tr(e)sts
_internal: (i)n:t(3):n(0)l
_international: (i)n:t(3):n(@):sh(i):n(O)l
_internationals: (i)n:t(3):n(@):sh(i):n(O)ls
_internet: (i)n:t(3):n(e)t
_internets: (i)n:t(3):n(e)ts
_intervention: (i)n:t(3):v(e)n:sh(i)n
_interventions: (i)n:t(3):v(e)n:sh(i)nz
_interview: (i)n:t(3):vy(o)
_interviewed: (i)n:t(3):vy(o)d
_interviewing: (i)n:t(3):vy(o):(1)ng
_interviews: (i)n:t(3):vy(o)z
_into: (i)n:t(o)
_introduce: (i)n:tr(u):d(o)s
_introduced: (i)n:tr(u):d(o)st
_introduces: (i)n:tr(u):d(o):s(i)z
_introducing: (i)n:tr(u):d(o):s(1)ng
_invest: (i)n:v(e)st
_invested: (i)n:v(e)s:t(i)d
_investigate: (i)n:v(e):st(i):g(A)t
_investigated: (i)n:v(e):st(i):g(A):t(i)d
_investigates: (i)n:v(e):st(i):g(A)ts
_investigating: (i)n:v(e):st(i):g(A):t(1)ng
_investigation: (i)n:v(e):st(i):g(A):sh(i)n
_investigations: (i)n:v(e):st(i):g(A):sh(i)ns
_investing: (i)n:v(e)s:t(1)ng
_investment: (i)n:v(e)st:m(i)nt
_investments: (i)n:v(e)st:m(i)nts
_investor: (i)n:v(e)s:t(3)
_investors: (i)n:v(e)s:t(3)z
_invests: (i)n:v(e)sts
_invite: (i)n:v(I)t
_invited: (i)n:v(I):dd(i)d
_invites: (i)n:v(I)ts
_inviting: (i)n:v(I):dd(1)ng
_involve: (i)n:v(0)lv
_involved: (i)n:v(0)lvt
_involves: (i)n:v(0)lvz
_involving: (i)n:v(0)l:v(1)ng
_is: (i)z
_island: (I):l(i)nd
_islander: (I):l(i)n:d(3)
_islands: (I):l(i)nz
_isn't: (i):z(i)nt
_issue: (i):sh(o)
_issues: (i):sh(o)z
_it: (i)t
_it'll: (i):dd(0)l
_it's: (i)ts
_item: (I):d(u)m
_items: (I):d(u)mz
_its: (i)ts
_itself: (i)t:s(e)lf
_japanese: j(@):p(i):n(E)z
_jewish: j(o):w(i)sh
_job: j(a)b
_jobs: j(a)bz
_join: j(Q)n
_joined: j(Q)nd
_joins: j(Q)nz
_joint: j(Q)nt
_journalist: j(3):n(0)l:l(i)st
_journalists: j(3):n(0)l:l(i)sts
_judge: j(u)j
_judges: j(u):j(i)z
_judgment: j(u)j:m(i)nt
_judgmental: j(u)j:m(e)n:t(0)l
_judgments: j(u)j:m(i)nts
_juliet: j(o):l(E):(e)t
_jump: j(u)mp
_jumped: j(u)mpt
_jumping: j(u)m:p(1)ng
_jumps: j(u)mps
_junk: j(u)nk
_juries: j(3):r(E)z
_jury: j(3):r(E)
_jurys: j(3):r(E)z
_just: j(u)st
_justice: j(u)s:t(i)s
_justices: j(u)s:t(i):s(i)z
_ka: k(a)
_kade: k(A)d
_kagero: k(a):g(e):r(O)
_keep: k(E)p
_keeps: k(E)ps
_kept: k(e)pt
_key: k(E)
_keys: k(E)z
_kick: k(i)k
_kicked: k(i)kt
_kicking: k(i):k(1)ng
_kicks: k(i)ks
_kid: k(i)d
_kidding: k(i):d(1)ng
_kids: k(i)dz
_kill: k(i)l
_killed: k(i)ld
_killing: k(i)l:l(1)ng
_kills: k(i)lz
_kind: k(I)nd
_kinda: k(I)n:d(u)
_kinds: k(I)nz
_kiss: k(i)s
_kitchen: k(i):ch(i)n
_kitchens: k(i):ch(i)ns
_knee: n(E)
_kneed: n(E)d
_knees: n(E)z
_knew: n(o)
_knife: n(I)f
_knock: n(9)k
_knocked: n(9)kt
_knocking: n(9):k(1)ng
_knocks: n(9)ks
_know: n(O)
_knowing: n(O):(1)ng
_knowledge: n(9l):l(i)j
_known: n(O)n
_knows: n(O)s
_l: (e)l
_lab: l(@)b
_labor: l(A):b(3)
_labored: l(A):b(3)d
_laboring: l(A):b(3):(1)ng
_labors: l(A):b(3)z
_labs: l(@)bs
_lace: l(A)s
_lack: l(@)k
_lacked: l(@)kt
_lacking: l(@):k(1)ng
_lacks: l(@)ks
_ladies: l(A):d(E)z
_lady: l(A):d(E)
_ladys: l(A):d(E)z
_land: l(&)nd
_landed: l(&)n:d(i)d
_lands: l(&)nz
_landscape: l(&)nd:sk(A)p
_landscaped: l(&)nd:sk(A)pt
_landscapes: l(&)nd:sk(A)ps
_landscaping: l(&)nd:sk(A):p(1)ng
_language: l(A)n:gw(i)j
_languages: l(A)n:gw(i):j(i)z
_large: l(a)rj
_largely: l(a)rj:l(E)
_larger: l(a)r:j(3)
_largest: l(a)r:j(i)st
_laser: l(A):z(3)
_last: l(@)st
_lasts: l(@)ts
_late: l(A)t
_lately: l(A)t:l(E)
_later: l(A):d(3)
_latest: l(A):d(i)st
_laugh: l(@)f
_laughed: st(@)bd
_laughing: l(@):f(1)ng
_laughs: l(@)fs
_launch: l(a)nch
_launched: l(a)ncht
_launches: l(a)n:ch(i)z
_launching: l(a)n:ch(1)ng
_law: l(9)
_laws: l(9)z
_lawyer: l(Q):(3)
_lawyers: l(Q):(3)z
_lay: l(A)
_laying: l(A):(1)ng
_lays: l(A)z
_lead: l(E)d|l(e)d
_leader: l(E):d(3)
_leaders: l(E):d(3)s
_leadership: l(E):d(3):sh(i)p
_leads: l(E)dz
_leaf: l(E)f
_leafs: l(E)fs
_league: l(E)g
_leagues: l(E)gz
_lean: l(E)n
