_a: u
_gained: gA,And
_gaining: gA:n1,1ng
_gains: gA,Ans
_game: gA,Am
_gamed: gA,Amd
_games: gA,Ams
_gap: g@,@p
_gaps: g@,@ps
_garden: ga,ar:di,in
_gardens: ga,ar:di,ins
_gas: g@,@s
_gases: g@:si,iz
_gasping: g@,@s:p1,1ng
_gassed: g@,@sd
_gassing: g@:s1,1ng
_gate: gA,At
_gated: gA:ddi,id
_gates: gA,Ats
_gather: g@:th3
_gathered: g@:th3,3d
_gathering: g@:th3:r1,1ng
_gathers: g@:th3,3z
_gating: gA:dd1,1ng
_gave: gA,Av
_gay: gA
_gayd: gA,Ad
_gayful: gA:f0,0l
_gaying: gA:1,1ng
_gays: gA,Az
_ge: ge
_gender: je,en:d3
_genders: je,en:d3,3z
_general: je:n3:r0,0l
_generally: je,en:n3:r0,0l:lE
_generals: je:n3:r0,0ls
_generate: je:n3:rA,At
_generated: je:n3:rA:di,id
_generates: je:n3:rA,Ats
_generating: je:n3:rA:d1,1ng
_generation: ge:n3:rA:shi,in
_generations: ge:n3:rA:shi,ins
_german: j3:mi,in
_germans: j3:mi,ins
_get: ge,et
_gets: ge,ets
_gift: gi,ift
_gifting: gi,if:t1,1ng
_gifts: gi,ifts
_girl: g3,3l
_girls: g3,3ls
_give: gi,iv
_gives: gi,ivz
_glass: gl@,@s
_glasses: gl@:si,iz
_global: glO:b0,0l
_globally: glO:bu:lE
_glow: glO
_go: gO
_goal: g0,0l
_goals: g0,0ls
_god: ga,ad
_goddess: g9:di,is
_goes: gO,Oz
_going: gO:1,1ng
_gold: g0,0ld
_golden: g0,0l:di,in
_golds: g0,0lds
_golf: g9,9lf
_golfs: g9,9lfs
_gone: ga,an
_gonna: gu:nu
_good: g6,6d
_goodnight: g6,6d:nI,It
_goods: g6,6ds
_got: ga,at
_gotta: ga:ddu
_government: gu:v3:me,ent
_governments: gu:v3:me,ents
_governor: gu:vi:n3
_governors: gu:vi:n3,3z
_grab: gr@,@b
_grabbed: gr@,@bd
_grabbing: gr@:b1,1ng
_grabs: gr@,@bz
_grade: grA,Ad
_graded: grA:di,id
_grades: grA,Ads
_grading: grA:d1,1ng
_graduate: gr@:jo:i,it
_graduated: gr@:jo:A:di,id
_graduates: gr@:jo:i,its
_graduating: gr@:jo:A:d1,1ng
_grant: gr&,&nt
_granted: gr&,&n:ti,id
_granting: gr&,&n:t1,1ng
_grants: gr&,&nts
_grasped: grA,Aspt
_grass: gr@,@s
_gray: grA
_grayed: grA,Ad
_grays: grA,As
_great: grA,At
_greater: grA:dd3
_greatest: grA:ddi,ist
_green: grE,En
_greens: grE,Ens
_grew: gro
_grey: grA
_grieving: grE:v1,1ng
_groaned: grO,Ond
_ground: gr8,8nd
_grounded: gr8,8n:di,id
_grounds: gr8,8nds
_group: gro,op
_grouped: gro,opd
_groups: gro,ops
_grow: grO
_growing: grO:1,ing
_grown: grO,On
_grows: grO,Os
_growth: grO,Oth
_guard: ga,ard
_guarded: ga,ar:di,id
_guarding: ga,ar:d1,1ng
_guards: ga,ards
_guess: ge,es
_guessed: ge,esd
_guesses: ge:si,iz
_guessing: ge:s1,1ng
_guest: ge,est
_guests: ge,ests
_guide: gI,Id
_guided: gI:ddi,id
_guides: gI,Ids
_guiding: gI:dd1,1ng
_guilt: gi,ilt
_guilty: gi,il:tE
_gun: gu,un
_guns: gu,uns
_guy: gI
_guys: gI,Iz
_ha: ha
_had: h@,@d
_hair: hA,Ar
_hairs: hA,Ars
_half: h@,@f
_hall: h9,9l
_halls: h9,9lz
_hallways: h9,9l:wA,Az
_halved: h@,@vd
_halves: h@,@vz
_hand: h&,&nd
_handed: h&,&n:di,id
_handle: h&,&n:d0,0l
_handled: h&,&n:d0,0ld
_handles: h&,&n:d0,0lz
_handling: h&,&n:d0,0l:l1,1ng
_hands: h&,&nds
_hang: h&,&ng
_hanging: h&,&n:g1,1ng
_hangs: h&,&ngz
_happen: h@:pi,in
_happened: h@:pi,ind
_happens: h@:pi,ins
_happier: h@:pE,Er
_happiest: h@:pi:yi,ist
_happily: h@:pi:lE
_happy: h@:pE
_hard: ha,ard
_harder: ha,ar:d3
_hardest: ha,ar:di,ist
_hardly: ha,3,3d:lE
_hardships: ha,ard:shi,ips
_has: h@,@z
_hat: h@,@t
_hate: hA,At
_hateful: hA,At:f0,0l
_hater: hA:dd3
_hates: hA,Ats
_hating: hA:dd1,1ng
_hats: h@,@ts
_haunting: h9,9n:t1,1ng
_have: h@,@v
_haved: h@,@vd
_havent: h@:vi,int
_haves: h@,@vz
_having: h@:v1,1ng
_he: hE
_head: he,ed
_headed: he:di,id
_heads: he,eds
_health: he,elth
_healthier: he,el:thE:3
_healthiest: he,el:thE:i,ist
_healths: he,elths
_healthy: he,el:thE
_hear: hE,Er
_heard: h3,3d
_hearing: hE,Er:r1,1ng
_hearings: hE,Er:r1,1ngz
_hears: hE,Ers
_heart: ha,art
_hearts: ha,arts
_heat: hE,Et
_heated: hE:ti,id
_heater: hE:t3
_heating: hE:t1,1ng
_heats: hE,Ets
_heavier: he:vE:3
_heaviest: he:vE:i,ist
_heavy: he:vE
_hed: hE,Ed
_heels: hE,Elz
_height: hI,It
_heights: hI,Its
_held: he,eld
_hell: he,el
_hella: he:lu
_hello: he,el:lO
_hells: he,els
_help: he,elp
_helped: he,elpd
_helps: he,elps
_her: h3
_here: u:la,arm
_heres: hE,Ers
_hero: hE,Er:rO
_heroes: hE,Er:rO,Oz
_heros: hE,Er:rO,Oz
_hers: h3,3z
_herself: h3:se,elf
_hes: hE,Es
_hey: hA
_heys: hA,Az
_hi: hI
_hid: hi,id
_hide: hI,Id
_hides: hI,Ids
_hiding: hI:d1,1ng
_high: hI
_higher: hI:3
_highest: hI:i,ist
_highly: hI:lE
_highs: hI,Is
_hill: hi,il
_hills: hi,ils
_him: hi,im
_himself: hi,im:se,elf
_hire: hI,Ir
_hired: hI,Ird
_hires: hI,Irz
_hiring: hI:3:1,1ng
_his: hi,iz
_historical: hi,is:t0,0r:ri:k0,0l
_historically: hi,is:t0,0r:ri,ik:lE
_histories: hi:st0,0r:rE,Es
_history: hi:st0,0r:rE
_historys: hi:st0,0r:rE,Es
_hit: hi,it
_hits: hi,its
_hitting: hi:dd1,1ng
_hold: h0,0ld
_holding: h0,0l:d1,1ng
_holds: h0,0lds
_hole: h0,0l
_holes: h0,0lz
_holiday: ha:li:dA
_holidays: ha:li:dA,As
_home: hO,Om
_homes: hO,Oms
_honesty: 9:ni,is:tE
_honor: 9:n3
_honored: 9:n3,3d
_honoring: 9:n3:1,1ng
_honors: 9:n3,3z
_hope: hO,Op
_hoped: hO,Opd
_hopeless: hO,Op:li,is
_hopes: hO,Ops
_horse: h0,0rs
_horses: h0,0r:si,iz
_hospital: ha,as:pi:t0,0l
_hospitals: ha,as:pi:t0,0ls
_host: hO,Ost
_hosted: hO,Os:ti,id
_hosting: hO,Os:t1,1ng
_hosts: hO,Osts
_hot: h9,9t
_hotel: hO:te,el
_hotels: hO:te,elz
_hots: h9,9ts
_hotter: h9:t3
_hottest: h9:ti,ist
_hour: h8:w3
_hours: h8:w3,3z
_house: h8,8s
_household: h8,8s:h0,0ld
_households: h8,8s:h0,0lds
_houses: h8:si,is
_how: h8
_howd: h8,8d
_however: h8:e:v3
_hows: h8,8s
_howve: h8,8v
_huge: hU:Uj
_human: hU:m&,&n
_humans: hU:m&,&ns
_hundred: hu,un:dri,id
_hundreds: hu,un:dri,ids
_hung: hu,ung
_hungry: hu,un:grE
_hurt: h3,3t
_hurting: h3:t1,1ng
_hurts: h3,3ts
_husband: hu,us:bi,ind
_husbandd: n
_husbands: hu,us:bi,inds
_husler: hu,us:l3
_i: I
_ice: I,Is
_iced: I,Isd
_id: I,Id
_idea: I:dE:u
_ideas: I:dE:u,us
_identified: I:de,en:ti:fI,Id
_identifier: I:de,en:ti:fI:3
_identifies: I:de,en:ti:fI,Iz
_identify: I:de,en:ti:fI
_identities: I:de,en:nu:dE,Ez
_identity: I:de,en:nu:dE
_identitys: I:de,en:nu:dE,Ez
_if: i,if
_ignore: i,ig:n0,0r
_ignored: i,ig:n0,0rd
_ignores: i,ig:n0,0rs
_ignoring: i,ig:n0,0r:r1,1ng
_ill: I,Il
_illegal: E:lE:g0,0l
_illegally: E:lE:gu:lE
_im: I,Im
_image: i:mi,ij
_imaged: i:mi,ijd
_images: i:mi:ji,iz
_imagine: i:m@:ji,in
_imagined: i:m@:ji,ind
_imagines: i:m@:ji,ins
_imagining: i:m@:ji:n1,1ng
_immediately: i,im:mE:dE:yi,it:lE
_immigrant: i,im:mi:gri,int
_immigrants: i,im:mi:gri,ints
_impact: i,im:p@,@kt
_impacted: i,im:p@,@k:ti,id
_impacting: i,im:p@,@k:t1,1ng
_impacts: i,im:p@,@kts
_importance: i,im:p0,0r:ti,ins
_important: i,im:p0,0r:ti,int
_impossibilities: i,im:pa:si:bi,il:li:ddE,Ez
_impossibility: i,im:pa:si:bi,il:li:tE
_impossible: i,im:pa:si:b0,0l
_improve: i,im:pro,ov
_improved: i,im:pro,ovd
_improvement: i,im:pro,ov:mi,int
_improvements: i,im:pro,ov:mi,ints
_improves: i,im:pro,ovz
_improving: i,im:pro:v1,1ng
_in: i,in
_inch: i,inch
_incident: i,in:si:di,int
_incidents: i,in:si:di,ints
_include: i,in:klo,od
_included: i,in:klo:di,id
_includes: i,in:klo,ods
_including: i,in:klo:d1,1ng
_income: i,in:ku,um
_incoming: i,in:ku,um:m1,1ng
_increase: i,in:krE,Es
_increased: i,in:krE,Esd
_increases: i,in:krE:si,iz
_increasing: i,in:krE:s1,1ng
_increasingly: i,in:krE:s1,1ng:lE
_indeed: i,in:dE,Ed
_independence: i,in:du:pe,en:di,ins
_independent: i,in:du:pe,en:di,int
_indian: i,in:dE:i,in
_indians: i,in:dE:i,ins
_indicate: i,in:di:cA,At
_indicated: i,in:di:kA,ti,id
_indicates: i,in:di:cA,Ats
_indicating: i,in:di:kA:t1,1ng
_individual: i,in:di:vi:jU:w0,0l
_individuals: i,in:di:vi:jU:w0,0ls
_industrial: i,in:du,us:trE:y0,0l
_industries: i,in:du,us:trE,Ez
_industry: i,in:du,us:trE
_industrys: i,in:du,us:trE,Ez
_influence: i,in:flo:i,ins
_influences: i,in:flo:i,in:si,iz
_information: i,in:f0,0r:mA:shi,in
_initial: i:ni:sh0,0l
_initials: i:ni:sh0,0ls
_injured: i,in:j3,3d
_injuries: i,in:j3:rE,Es
_injuring: i,in:j3:r1,1ng
_injury: i,in:j3:rE
_injurys: i,in:j3:rE,Es
_inside: i,in:sI,Id
_insides: i,in:sI,Ids
_insist: i,in:si,ist
_insisted: i,in:si,is:ti,id
_insisting: i,in:si,is:t1,1ng
_insists: i,in:si,ists
_instead: i,in:ste,ed
_institution: i,in:sti:to:shi,in
_institutions: i,in:sti:to:shi,ins
_instructed: i,in:stru,uk:ti,id
_instructing: i,in:stru,uk:t1,1ng
_instruction: i,in:stru,uk:shi,in
_instructions: i,in:stru,uk:shi,ins
_instrument: i,in:stri:mi,int
_instrumental: i,in:stru:me,en:t0,0l
_instruments: i,in:stri:mi,ints
_insurance: i,in:sh3:ri,ins
_insuranced: i,in:sh3:ri,insd
_insurances: i,in:sh3:ri,in:si,iz
_intelligence: i,in:te:li:ji,ins
_intelligences: i,in:te:li:ji,in:si,iz
_intend: i,in:te,end
_intended: i,in:te,en:di,id
_intending: i,in:te,en:d1,1ng
_intends: i,in:te,ens
_interaction: i,in:t3:@,@k:shi,in
_interactions: i,in:t3:@,@k:shi,ins
_interest: in:tre,est
_interested: i,in:t3:re,es:ti,id
_interesting: i,in:t3:re:st1,1ng
_interestingly: i,in:t3:re:st1,1ng:lE
_interests: in:tre,ests
_internal: i,in:t3:n0,0l
_international: i,in:t3:n@:shi,in:nO,Ol
_internationals: i,in:t3:n@:shi,in:nO,Ols
_internet: i,in:t3:ne,et
_internets: i,in:t3:ne,ets
_intervention: i,in:t3:ve,en:shi,in
_interventions: i,in:t3:ve,en:shi,ins
_interview: i,in:t3:vU
_interviewed: i,in:t3,vU,Ud
_interviewing: i,in:t3:vU:y1,1ng
_interviews: i,in:t3:vU,Uz
_into: i,in:to
_introduce: i,in:trO:do,os
_introduced: i,in:trO:do,osd
_introduces: i,in:trO:do:si,iz
_introducing: i,in:trO:do:s1,1ng
_invest: i,in:ve,est
_invested: i,in:ve,es:ti,id
_investigate: i,in:ve,es:ti:gA,At
_investigated: i,in:ve,es:ti:gA:ti,id
_investigates: i,in:ve,es:ti:gA,Ats
_investigating: i,in:ve:sti:gA:t1,1ng
_investigation: i,in:ve:sti:gA:shi,in
_investigations: i,in:ve:sti:gA:shi,ins
_investing: i,in:ve,es:t1,1ng
_investment: i,in:ve,est:mi,int
_investments: i,in:ve,est:mi,ints
_investor: i,in:ve,es:t3
_investors: i,in:ve,es:t3,3z
_invests: i,in:ve,ests
_invite: i,in:vI,It
_invited: i,in:vI:ddi,id
_invites: i,in:vI,Its
_inviting: i,in:vI:dd1,1ng
_involve: i,in:v0,0lv
_involved: i,in:v0,0lvd
_involves: i,in:v0,0lvz
_involving: i,in:v0,0l:v1,1ng
_iraqi: n
_is: i,iz
_island: I:li,ind
_islander: I:li,in:d3
_islands: I:li,ins
_isnt: i:zi,int
_israeli: n
_issue: i:sho
_issues: i:sho,os
_it: i,it
_item: I:du,um
_items: I:du,ums
_itll: i,it:x,xl
_its: i,its
_itself: i,it:se,elf
_ive: I,Iv
_japanese: j@:pi,in:nE,Ez
_jew: jo
_jewish: jo:wi,ish
_job: ja,ab
_jobs: ja,abs
_join: jQ,Qn
_joined: jQ,Qnd
_joins: jQ,Qns
_joint: jQ,Qnt
_journalist: j3:n0,0l:li,ist
_journalists: j3:n0,0l:li,ists
_judge: ju,uj
_judges: ju:ji,iz
_judgment: ju,uj:mi,int
_judgmental: ju,uj:me,en:t0,0l
_judgments: ju,uj:mi,ints
_juliet: jo:lE:e,et
_jump: ju,ump
_jumped: ju,umpd
_jumping: ju,um:p1,1ng
_jumps: ju,umps
_junk: ju,unk
_juries: j3:rE,Ez
_jury: j3:rE
_jurys: j3:rE,Ez
_just: ju,ust
_justice: ju,us:ti,is
_justices: ju,us:ti:si,iz
_ka: ka
_kade: kA,Ad
_keep: kE,Ep
_keeps: kE,Eps
_kept: ke,ept
_key: kE
_keys: kE,Ez
_kick: ki,ik
_kicked: ki,ikd
_kicking: ki:k1,1ng
_kicks: ki,iks
_kid: ki,id
_kidding: ki:d1,1ng
_kids: ki,ids
_kill: ki,il
_killed: ki,ild
_killing: ki,il:l1,1ng
_kills: ki,ils
_kind: kI,Ind
_kinda: kI,In:du
_kinds: kI,Inds
_kiss: ki,is
_kitchen: ki:chi,in
_kitchens: ki:chi,ins
_knee: nE
_kneed: nE,Ed
_knees: nE,Ez
_knew: nE,Ew
_knife: nI,If
_knock: n9,9k
_knocked: n9,9kd
_knocking: n9:k1,1ng
_knocks: n9,9ks
_know: nO
_knowing: nO:1,1ng
_knowledge: n9:li,ij
_known: nO,On
_knows: nO,Os
_l: I
_lab: l@,@b
_labor: lA:b3
_labored: lA:b3,3d
_laboring: lA:b3:r1,1ng
_labors: lA:b3,3z
_labs: l@,@bs
_lace: lA,As
_lack: l@,@k
_lacked: l@,@kd
_lacking: l@:k1,1ng
_lacks: l@,@ks
_ladies: lA:dE,Ez
_lady: lA:dE
_ladys: lA:dE,Ez
_land: l&,&nd
_landed: l&,&n:di,id
_lands: l&,&nds
_landscape: l&,&nd:skA,Ap
_landscaped: l&,&nd:skA,Apd
_landscapes: l&,&nd:skA,Aps
_landscaping: l&,&nd:skA:p1,1ng
_language: lA,An:gwi,ij
_languages: lA,An:gwi:ji,iz
_large: la,arj
_largely: la,arj:lE
_larger: la,ar:j3
_largest: la,ar:ji,ist
_laser: lA:z3
_last: l@,@st
_lasts: l@,@ts
_late: lA,At
_lately: lA,At:lE
_later: lA:t3
_latest: lA:ti,ist
_laugh: l@,@f
_laughed: st@,@bd
_laughing: l@:f1,1ng
_laughs: l@,@fs
_launch: la,anch
_launched: la,anchd
_launches: la,an:chi,iz
_launching: la,an:ch1,1ng
_law: l9
_laws: l9,9z
_lawyer: lQ:y3
_lawyers: lQ:y3,3z
_lay: lA
_laying: lA:1,1ng
_lays: lA,Az
_lead: lE,Ed
_leader: lE:d3
_leaders: lE:d3,3s
_leadership: lE:d3:shi,ip
_leads: lE,Eds
_leaf: lE,Ef
_leafs: lE,Efs
_league: lE,Eg
_leagues: lE,Egs
_lean: lE,En
_leaned: lE,End
_leaning: lE:n1,1ng
_leans: lE,Ens
_learn: l3,3n
_learned: l3,3nd
_learning: l3:n1,1ng
_learns: l3,3ns
_learnt: l3,3nt
_least: lE,Est
_leave: lE,Ev
_leaved: lE,Evd
_leaves: lE,Evz
_leaving: lE,Ev:vi,in
_led: le,ed
_left: le,eft
_lefts: le,efts
_leg: le,eg
_legal: lE:g0,0l
_legals: lE:g0,0lz
_legislation: le:ji,is:lA:shi,in
_legs: le,egz
_lemme: le:mE
_length: lA,Angh
_lengths: lA,Anghs
_less: le,es
_lesser: le:s3
_lesson: le:si,in
_lessons: le:si,ins
_let: le,et
_lets: le,ets
_letter: le:t3
_lettered: le:t3,3d
_letters: le:t3,3z
_level: le:vO,Ol
_leveled: le:vO,Old
_levels: le:vO,Ols
_liar: lI:y3
_liberal: li:br0,0l
_liberals: li:br0,0ls
_libraries: lI:brA,Ar:rE,Ez
_library: lI:brA,Ar:rE
_librarys: lI:brA,Ar:rE,Ez
_lie: lI
_lied: lI,Id
_lies: lI,Iz
_life: lI,If
_lift: li,ift
_lifted: li,if:ti,id
_lifting: li,if:t1,1ng
_lifts: li,ifts
_light: lI,It
_lighted: lI:ti,id
_lighter: lI:t3
_lightest: lI:ti,ist
_lightning: lI,It:n1,1ng
_lights: lI,Its
_like: lI,Ik
_liked: lI,Ikd
_likelihood: lI,Ik:lE:h6,6d
_likely: lI,Ik:lE
_likes: lI,Iks
_liking: lI:k1,1ng
_limit: li:mi,it
_limited: li:mi:ti,id
_limiter: li:mi:t3
_limiting: li:mi:t1,1ng
_limits: li:mi,its
_line: lI,In
_lined: lI,Ind
_lines: lI,Ins
_lining: lI:n1,1ng
_link: l1,1nk
_linked: l1,1nkd
_linking: l1,in:k1,1ng
_links: l1,1nks
_lip: li,ip
_lips: li,ips
_list: li,ist
_listed: li,is:ti,id
_listen: li:si,in
_listened: li:si,ind
_listens: li:si,ins
_lists: li,ists
_literature: li:dd3:u:ch3
_little: li:tO,Ol
_littler: li:tO,Ol:l3
_live: li,iv
_lived: li,ivd
_lives: lI,Ivz
_living: li:v1,1ng
_loan: lO,On
_loaned: lO,Ond
_loaning: lO,On:n1,1ng
_loans: lO,Ons
_local: lO:k0,0l
_locals: lO:k0,0ls
_locate: lO:kA,At
_located: lO:kA:ti,id
_locates: lO:kA,Ats
_locating: lO:kA:t1,1ng
_location: lO:kA:shi,in
_locations: lO:kA:shi,ins
_locked: l9,9kt
_long: la,ang
_longer: la,an:g3
_longest: la,an:gi,ist
_longs: la,angs
_look: l6,6k
_looked: l6,6kd
_looking: l6:k1,1ng
_looks: l6,6ks
_lose: lo,os
_loser: lo:z3
_loses: lo:zi,iz
_losing: lo:z1,1ng
_loss: la,as
_losses: lo:zi,iz
_lost: l9,9st
_lot: la,at
_lots: la,ats
_loudly: l8,8d:lE
_love: lu,uv
_loved: lu,uvd
_loves: lu,uvz
_low: lO
_lower: lO:w3
_lowest: lO:wi,ist
_lows: lO,Oz
_luckily: lu:ku:lE
_lucky: lu:kE
_lunch: lu,unch
_lunches: lu,un:chi,is
_lungs: lu,ungz
_lying: lI:1,1ng
_machine: mu:shi,in
_machines: mu:shi,ins
_mad: m@,@d
_made: mA,Ad
_magazine: m@:gu:zi,in
_magazines: m@:gu:zi,ins
_magic: m@:ji,ik
_main: mA,An
_mains: mA,Anz
_maintain: mA,An:tA,An
_maintained: mA,An:tA,And
_maintaining: mA,An:tA:n1,1ng
_maintains: mA,An:tA,Ans
_major: mA:j3
_majorities: mu:j0,0r:ri:tE,Ez
_majority: mu:j0,0r:ri:tE
_majoritys: mu:j0,0r:ri:tE,Ez
_majors: mA:j3,3s
_make: mA,Ak
_makes: mA,Aks
_makie: mA,Ak
_making: mA:k1,1ng
_male: m9,9l
_males: m9,9lz
_mama: ma:mu
_man: m&,&n
_manage: m&:ni,ij
_managed: m&:ni,ijd
_management: m&,&n:ni,ij:mi,int
_manager: m&:ni:j3
_managers: m&,ni:j3,3z
_manages: m&:ni:ji,iz
_managing: m&:ni:j1,1ng
_manner: m&:n3
_manners: m&:n3,3z
_many: me:nE
_map: m@,@p
_mapped: m@,@pd
_mapping: m@:p1,1ng
_maps: m@,@ps
_mark: ma,ark
_marked: ma,arkd
_market: ma,ar:ki,it
_marketed: ma,ar:ki:ti,id
_markets: ma,ar:ki,its
_marking: ma,ar:k1,1ng
_marks: ma,arks
_marriage: mA:ri,ij
_marriages: mA,Ar:ri:ji,iz
_married: mA,Ar:rE,Ed
_marries: mA,Ar:rE,Ez
_marring: mA,Ar:rE:1,1ng
_marry: mA,Ar:rE
_marrying: mA,Ar:rE:1,1ng
_mascara: m@,@s:kA,Ar:ru
_mass: m@,@s
_masses: m@:si,is
_massive: m@:si,iv
_master: m@,@s:t3
_mastered: m@,@s:t3,3d
_mastering: m@:st3:r1,1ng
_masters: m@,@s:t3,3z
_match: m@,@ch
_matched: m@,@chd
_matches: m@:chi,iz
_matching: m@:ch1,1ng
_material: mu:tE,Er:rE:y0,0l
_materials: mu:tE,Er:rE:y0,0ls
_matter: m@:t3
_mattered: m@:t3,3d
_matters: m@:t3,3z
_may: mA
_maybe: mA:bE
_me: mE
_meal: mE,El
_meals: mE,Elz
_mean: mE,En
_meaner: mE:n3
_meaning: mE:n1,1ng
_meaningful: mE:n1,1ng:f0,0l
_meanings: mE:n1,1ngz
_means: mE,Ens
_meant: me,ent
_meanwhile: mE,En:wI,Il
_measure: me:zh3
_measured: me:zh3,3d
_measures: me:zh3,3z
_measuring: me:zh3:r1,1ng
_meat: mE,Et
_meats: mE,Ets
_media: mE:dE:u
_medias: mE:dE:u,uz
_medical: me:di:k0,0l
_medicine: me:di:si,in
_medicines: me:di:si,ins
_meet: mE,Et
_meeting: mE:t1,1ng
_meetings: mE:t1,1ngz
_meets: mE,Ets
_melt: me,elt
_melting: me,el:t1,1ng
_member: me,em:b3
_members: me,em:b3,3z
_memories: me:m0,0r:rE,Ez
_memory: me:m0,0r:rE
_men: me,en
_mental: me,en:t0,0l
_mention: me,en:shi,in
_mentioned: me,en:shi,ind
_mentioning: me,en:shi:n1,1ng
_mentions: me,en:shi,ins
_mere: my3
_merely: mE,Er:lE
_mess: me,es
_message: me:si,ij
_messaged: me:si,ijd
_messages: me:si:ji,iz
_messaging: me:si:j1,1ng
_messed: me,est
_met: me,et
_metal: me:dd0,0l
_metals: me:dd0,0ls
_method: me:thi,id
_methods: me:thi,ids
_middle: mi:d0,0l
_middles: mi:d0,0ls
_might: mI,It
_mights: mI,Its
_mightve: mI:ti,iv
_militaries: mi:li:tA,Ar:rE,Ez
_military: mi:li:tA,Ar:rE
_militarys: mi:li:tA,Ar:rE,Ez
_milk: mi,ilk
_milked: mi,ilkd
_milking: mi,il:k1,1ng
_milks: mi,ilks
_million: mi,il:lE:i,in
_millions: mi,il:lE:i,ins
_mind: mI,Ind
_minded: mI,In:di,id
_minds: mI,Inds
_mine: mI,In
_minister: mi:ni,is:t3
_ministers: mi:ni,is:t3,3s
_minorities: mI:n0,0r:ri:ddE,Es
_minority: mI:n0,0r:ri:ddE
_minute: mi:ni,it
_minutes: mi:ni,its
_mirror: mE,Er:r3
_mirrored: mE,Er:r3,3d
_mirroring: mE:r3:r1,1ng
_mirrors: mE,Er:r3,3z
_miss: mi,is
_missed: mi,isd
_misses: mi:si,iz
_missing: mi:s1,1ng
_mission: mi:shi,in
_missions: mi:shi,ins
_mistake: mi,is:tA,Ak
_mistakes: mi,is:tA,Aks
_mistook: mi,is:t6,6k
_mix: mi,iks
_mixed: mi,iksd
_mixes: mi,ik:si,is
_mixing: mi,ik:s1,1ng
_mo: mO
_model: ma:d0,0l
_modeled: ma:d0,0ld
_models: ma:d0,0ls
_modern: ma:d3,3n
_mom: ma,am
_moment: mO:mi,int
_moments: mO:mi,ints
_moms: ma,amz
_money: mu:nE
_moneyd: mu:nE,Ed
_moneys: mu:nE,Es
_monies: mu:nE,Es
_monsters: ma,an:st3,3z
_month: mu,unth
_months: mu,unths
_moon: mo,on
_moral: m0,0r:r0,0l
_morality: m0,0r:r@:li:ddE
_morals: m0,0r:r0,0ls
_more: m0,0r
_morning: m0,0r:n1,1ng
_mornings: m0,0r:n1,1ngz
_most: mO,Ost
_mostly: mO,Ost:lE
_mother: mu:dh3
_motherd: mu:dh3:h6,6d
_mothers: mu:dh3,3s
_motion: mO:shi,in
_motioned: mO:shi,ind
_motioning: mO:shi:n1,1ng
_motions: mO:shi,ins
_mountain: m8,8n:ti,in
_mountains: m8,8n:ti,ins
_mouth: m8,8th
_mouths: m8,8ths
_move: mo,ov
_moved: mo,ovd
_movement: mo,ov:mi,int
_movements: mo,ov:mi,ints
_moves: mo,ovz
_movie: mo:vE
_movies: mo:vE,Ez
_moving: mO:v1,1ng
_mr: mi,is:t3
_mrs: mi:si,iz
_ms: mi,is
_much: mu,uch
_multiple: m0,0l:ti:p0,0l
_multiplied: mu,ul:ti:plI,Id
_multiplies: mu,ul:ti:p0,0lz
_multiplying: mu,ul:ti:plI:1,1ng
_murder: m3:d3
_murdered: m3:d3,3d
_murdering: m3:d3:1,1ng
_murders: m3:d3,3z
_muscle: mu:s0,0l
_muscles: mu:s0,0ls
_museum: mU:zE,Em
_museums: mU:zE,Ems
_music: mU:zi,ik
_musical: mU:zi:k0,0l
_musically: mU:zi,ik:lE
_musicals: mU:zi:k0,0ls
_musics: mU:zi,iks
_must: mu,ust
_mustve: mu,us:tu,uv
_my: mI
_myself: mI:se,elf
_n: n
_name: nA,Am
_named: nA,Amd
_names: nA,Ams
_narrow: nA,Ar:rO
_narrower: nA,Ar:rO:3
_narrowest: nA,Ar:rO:i,ist
_nation: nA,shi,in
_national: n@:shu:nO,Ol
_nationality: n@:shi,in:n@:li:tE
_nationals: n@:shu:nO,Ols
_nations: nA,shi,ins
_native: nA:ddi,iv
_natives: nA:ddi,ivz
_natural: n@:ch3:r0,0l
_naturally: n@:tra:lE
_naturals: n@:ch3:r0,0ls
_nature: nA:ch3
_natured: nA:ch3,3d
_natures: nA:ch3,3z
_near: nE,Er
_neared: nE,Erd
_nearly: nE,Er:lE
_nearlyd: nE,Er:lE,Ed
_nears: nE,Ers
_necessarily: ne:si:sA,Ar:rE
_necessary: ne:si:sA,Ar:rE
_neck: ne,ek
_necks: ne,eks
_need: nE,Ed
_needed: nE:di,id
_needless: nE,Ed:le,es
_needs: nE,Eds
_negative: ne:ga:ddi,iv
_negativity: ne:gu:ti:vu:tE
_neighbor: nA:b3
_neighbored: nA:b3,3d
_neighborhood: nA:b3:h6,6d
_neighborhoods: nA:b3:h6,6ds
_neighbors: nA:b3,3z
_neither: nE:th3
_neon: nE:ya,an
_network: ne,et:w3,3k
_networked: ne,et:w3,3kd
_networking: ne,et:w3:k1,1ng
_networks: ne,et:w3,3ks
_never: ne:v3
_new: no
_newer: no:w3
_newest: no:wi,ist
_news: no,oz
_newspaper: nU,Uz:pA:p3
_newspapers: nU,Uz:pA:p3,3z
_next: ne:ekst
_nexts: ne:eksts
_nice: nI,Is
_nicely: nI,Is:lE
_nicer: nI:s3
_nicest: nI:si,ist
_night: nI,It
_nights: nI,Its
_nine: nI,In
_no: nO
_nobodies: nO:ba:dE,Ez
_nobody: nO:ba:dE
